"ID","LINHA","COLUNA","CODIGO_DENTISTA","HORA","USUARIO","MODIFICADO","DIA_SEMANA","NUMERO_SEMANA","INCLUIDO","EXCLUIDO","DATA_UNICA","CODIGO_ESPECIALIDADE"
36,30,3,"20",14:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
37,31,3,"20",14:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
38,32,3,"20",14:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
39,33,3,"20",14:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
40,34,3,"20",15:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
41,35,3,"20",15:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
42,36,3,"20",15:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
43,37,3,"20",15:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
44,38,3,"20",16:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
45,39,3,"20",16:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
46,40,3,"20",16:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
47,41,3,"20",16:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
48,42,3,"20",17:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
49,43,3,"20",17:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
50,44,3,"20",17:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
51,28,4,"20",13:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2020-10-28,,
52,29,4,"20",13:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
53,30,4,"20",14:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
54,31,4,"20",14:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
55,32,4,"20",14:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
56,33,4,"20",14:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
57,34,4,"20",15:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
58,35,4,"20",15:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
59,36,4,"20",15:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
60,37,4,"20",15:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
61,38,4,"20",16:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
62,39,4,"20",16:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
63,40,4,"20",16:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
64,41,4,"20",16:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
65,42,4,"20",17:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
66,43,4,"20",17:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
67,44,4,"20",17:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-01-28,,
68,28,5,"20",13:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2020-10-28,,
69,29,5,"20",13:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
70,30,5,"20",14:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
71,31,5,"20",14:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
72,32,5,"20",14:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
73,33,5,"20",14:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
74,34,5,"20",15:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
75,35,5,"20",15:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
76,36,5,"20",15:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
77,37,5,"20",15:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
78,38,5,"20",16:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
79,39,5,"20",16:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
80,40,5,"20",16:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
81,41,5,"20",16:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
82,42,5,"20",17:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
83,43,5,"20",17:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
84,44,5,"20",17:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
85,6,5,"20",08:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2020-10-28,,
86,7,5,"20",08:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
87,8,5,"20",08:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
88,9,5,"20",08:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
89,10,5,"20",09:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
90,11,5,"20",09:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
91,12,5,"20",09:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
92,13,5,"20",09:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
93,14,5,"20",10:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
94,15,5,"20",10:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
95,16,5,"20",10:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
96,17,5,"20",10:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
97,18,5,"20",11:00:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
98,19,5,"20",11:15:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
99,20,5,"20",11:30:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2021-02-27,,
100,21,5,"20",11:45:00,HELLEN,2020-10-28,SEXTA,5,2020-10-28,2020-10-28,,
101,6,4,"20",08:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2020-10-28,,
102,7,4,"20",08:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
103,8,4,"20",08:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2020-10-28,,
104,9,4,"20",08:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
105,10,4,"20",09:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
106,11,4,"20",09:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
107,12,4,"20",09:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
108,13,4,"20",09:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
109,14,4,"20",10:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
110,15,4,"20",10:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
111,16,4,"20",10:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
112,17,4,"20",10:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
113,18,4,"20",11:00:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
114,19,4,"20",11:15:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
115,20,4,"20",11:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
116,21,4,"20",11:45:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2020-10-28,,
117,6,3,"20",08:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-29,,
118,7,3,"20",08:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
119,8,3,"20",08:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
120,9,3,"20",08:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
121,10,3,"20",09:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
122,11,3,"20",09:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
123,12,3,"20",09:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
124,13,3,"20",09:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
125,14,3,"20",10:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
126,15,3,"20",10:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
127,16,3,"20",10:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
128,17,3,"20",10:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
129,18,3,"20",11:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
130,19,3,"20",11:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
131,20,3,"20",11:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
132,21,3,"20",11:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-29,,
133,6,6,"20",08:00:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2020-10-29,,
134,7,6,"20",08:15:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
135,8,6,"20",08:30:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
136,9,6,"20",08:45:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
137,10,6,"20",09:00:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
138,11,6,"20",09:15:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
139,12,6,"20",09:30:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
140,13,6,"20",09:45:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
141,14,6,"20",10:00:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
142,15,6,"20",10:15:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
143,16,6,"20",10:30:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
144,17,6,"20",10:45:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
145,18,6,"20",11:00:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
146,19,6,"20",11:15:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
147,20,6,"20",11:30:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2021-02-27,,
148,21,6,"20",11:45:00,HELLEN,2020-10-28,SABADO,6,2020-10-28,2020-10-29,,
149,8,4,"20",08:30:00,HELLEN,2020-10-28,QUINTA,4,2020-10-28,2021-02-27,,
150,6,2,"35",08:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
151,7,2,"35",08:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
152,8,2,"35",08:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
153,9,2,"35",08:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
154,10,2,"35",09:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
155,11,2,"35",09:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
156,12,2,"35",09:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
157,13,2,"35",09:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
158,14,2,"35",10:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
159,15,2,"35",10:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
160,16,2,"35",10:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
161,17,2,"35",10:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
162,18,2,"35",11:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
163,19,2,"35",11:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
164,20,2,"35",11:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
165,21,2,"35",11:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
166,6,3,"36",08:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
167,7,3,"36",08:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
168,8,3,"36",08:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
169,9,3,"36",08:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
170,10,3,"36",09:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
171,11,3,"36",09:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
172,12,3,"36",09:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
173,13,3,"36",09:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
174,14,3,"36",10:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
175,15,3,"36",10:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
176,16,3,"36",10:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
177,17,3,"36",10:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
178,18,3,"36",11:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
179,19,3,"36",11:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
180,20,3,"36",11:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
181,21,3,"36",11:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,,,
182,28,2,"13",13:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
183,29,2,"13",13:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
184,30,2,"13",14:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
185,31,2,"13",14:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
186,32,2,"13",14:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
187,33,2,"13",14:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
188,34,2,"13",15:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
189,35,2,"13",15:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
190,36,2,"13",15:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
191,37,2,"13",15:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
192,38,2,"13",16:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
193,39,2,"13",16:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
194,40,2,"13",16:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
195,41,2,"13",16:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
196,42,2,"13",17:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
197,43,2,"13",17:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
198,44,2,"13",17:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,,,
199,28,3,"13",13:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
200,29,3,"13",13:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
201,30,3,"13",14:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
202,31,3,"13",14:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
203,32,3,"13",14:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
204,33,3,"13",14:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
205,34,3,"13",15:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
206,35,3,"13",15:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
207,36,3,"13",15:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
208,37,3,"13",15:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
209,38,3,"13",16:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
210,39,3,"13",16:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
211,40,3,"13",16:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
212,41,3,"13",16:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
213,42,3,"13",17:00:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
214,43,3,"13",17:15:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
215,44,3,"13",17:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-31,2020-11-04,
216,6,2,"26",08:00:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2021-02-27,,
217,7,2,"26",08:15:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2021-02-27,,
218,8,2,"26",08:30:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
219,9,2,"26",08:45:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
220,10,2,"26",09:00:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
221,11,2,"26",09:15:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
222,12,2,"26",09:30:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
223,13,2,"26",09:45:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
224,14,2,"26",10:00:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
225,15,2,"26",10:15:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
226,16,2,"26",10:30:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
227,17,2,"26",10:45:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
228,18,2,"26",11:00:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
229,19,2,"26",11:15:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
230,20,2,"26",11:30:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
231,21,2,"26",11:45:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
232,6,3,"26",08:00:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2021-02-27,,
233,7,3,"26",08:15:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2021-02-27,,
234,8,3,"26",08:30:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
235,9,3,"26",08:45:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
236,10,3,"26",09:00:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
237,11,3,"26",09:15:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
238,12,3,"26",09:30:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
239,13,3,"26",09:45:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
240,14,3,"26",10:00:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
241,15,3,"26",10:15:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
242,16,3,"26",10:30:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
243,17,3,"26",10:45:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
244,18,3,"26",11:00:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
245,19,3,"26",11:15:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
246,20,3,"26",11:30:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
247,21,3,"26",11:45:00,VALERI,2020-10-29,QUARTA,3,2020-10-29,2022-01-17,,
248,6,4,"26",08:00:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
249,7,4,"26",08:15:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
250,8,4,"26",08:30:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
251,9,4,"26",08:45:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
252,10,4,"26",09:00:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
253,11,4,"26",09:15:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
254,12,4,"26",09:30:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
255,13,4,"26",09:45:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
256,14,4,"26",10:00:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
257,15,4,"26",10:15:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
258,16,4,"26",10:30:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
259,17,4,"26",10:45:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
260,18,4,"26",11:00:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
261,19,4,"26",11:15:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
262,20,4,"26",11:30:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
263,21,4,"26",11:45:00,VALERI,2020-10-29,QUINTA,4,2020-10-29,2021-02-22,,
264,28,2,"26",13:30:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
265,29,2,"26",13:45:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
266,30,2,"26",14:00:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
267,31,2,"26",14:15:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
268,32,2,"26",14:30:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
269,33,2,"26",14:45:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
270,34,2,"26",15:00:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
271,35,2,"26",15:15:00,VALERI,2020-10-29,TERCA,2,2020-10-29,2022-01-17,,
